archivo_a,archivo_b,similitud,tamanio_a_kb,extension
receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAW Entregable 3. Análisis de Factibilidad.txt,receipt-2602_CFPSICB0_ONLINE_MPO_2A_A-DAM_EC03_NF1_GameDesign.txt,91.04,0.39,.txt
receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAW Entregable 3. Análisis de Factibilidad.txt,receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF2 Actividad Servicios y procesos.txt,93.08,0.39,.txt
receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAW Entregable 3. Análisis de Factibilidad.txt,receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF3 AccDatos.txt,91.16,0.39,.txt
receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAW Entregable 3. Análisis de Factibilidad.txt,receipt-2602_CFPSICB0_ONLINE_0489_2A_A-DAM_EC_Teorico_Practico_NF1_Multimedia_y_moviles.txt,92.85,0.39,.txt
receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAW Entregable 3. Análisis de Factibilidad.txt,receipt-250275105_0179_1A_A-Speaking_Examen 1ª convo. DAM_0179_ Inglés Profesional.txt,88.84,0.39,.txt
receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAW Entregable 3. Análisis de Factibilidad.txt,receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF4 AccDatos.txt,91.42,0.39,.txt
receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAW Entregable 3. Análisis de Factibilidad.txt,README.md,52.8,0.39,.txt
receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAW Entregable 3. Análisis de Factibilidad.txt,receipt-2509_DAM_O_EE_2A-Aplazamiento.txt,90.66,0.39,.txt
receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAW Entregable 3. Análisis de Factibilidad.txt,receipt-250275105_0179_1A_A-DAM EC TEST NF 1 PROFESSIONAL ENGLISH- SPEAKING.txt,90.04,0.39,.txt
receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAW Entregable 3. Análisis de Factibilidad.txt,receipt-250275105_0179_1A_A-DAM EC TEST NF 2 PROFESSIONAL ENGLISH - LISTENING.txt,85.34,0.39,.txt
receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAW Entregable 3. Análisis de Factibilidad.txt,receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF1 AccDatos.txt,91.19,0.39,.txt
receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAW Entregable 3. Análisis de Factibilidad.txt,receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF1 Actividad Servicios y procesos.txt,93.29,0.39,.txt
receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAW Entregable 3. Análisis de Factibilidad.txt,receipt-2602_CFPSICB0_ONLINE_0491_2A_A-DAM_EC_NF1_Sistemas_de_gestión_empresarial - Actividad 80 nota.txt,89.1,0.39,.txt
receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAW Entregable 3. Análisis de Factibilidad.txt,receipt-2602_CFPSICB0_ONLINE_MPO_2A_A-DAM_EC01_NF1_GameDesign.txt,89.87,0.39,.txt
receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAW Entregable 3. Análisis de Factibilidad.txt,receipt-2509_CFPSICB0_ONLINE_0488_2A_A-DAM EC NF2 ACTIVIDAD DESARROLLO DE INTERFACES.txt,89.75,0.39,.txt
receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAW Entregable 3. Análisis de Factibilidad.txt,receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAM Entregable 2. Organización del proyecto.txt,97.68,0.39,.txt
receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAW Entregable 3. Análisis de Factibilidad.txt,receipt-2509_CFPSICB0_ONLINE_0492_2A_A-Entregable 5. Estructura del proyecto  Maquetación  Usabilidad.txt,97.2,0.39,.txt
